ba,pair,mape_pct,noise_pct,index
CPLE,Wed-Sun,3.148015196148978,7.954203704401526,0.39576748511067134
CPLE,Thu-Fri,1.2140649532299972,7.954203704401526,0.15263186590986902
CPLE,Thu-Sat,2.4543170848225806,7.954203704401526,0.30855597568672566
CPLE,Thu-Sun,3.2785253383342483,7.954203704401526,0.4121751793356824
CPLE,Fri-Sat,2.60330349098482,7.954203704401526,0.3272865000357308
CPLE,Fri-Sun,3.8008934970687767,7.954203704401526,0.47784714074716494
CPLE,Sat-Sun,1.9948768881105479,7.954203704401526,0.25079529796385097
CPLW,Mon-Tue,1.6273587264695384,7.0988930393989715,0.22924119541422458
CPLW,Mon-Wed,1.2429935377334345,7.0988930393989715,0.17509681169089325
CPLW,Mon-Thu,1.2543500638792744,7.0988930393989715,0.17669657183417348
CPLW,Mon-Fri,1.659347937963748,7.0988930393989715,0.23374742072522292
CPLW,Mon-Sat,3.0729777276387598,7.0988930393989715,0.4328812549482974
CPLW,Mon-Sun,3.170388519949883,7.0988930393989715,0.4466032242427341
CPLW,Tue-Wed,0.40016200294326,7.0988930393989715,0.056369634071446684
CPLW,Tue-Thu,0.5037022635001411,7.0988930393989715,0.07095504337149262
CPLW,Tue-Fri,0.9676166705211164,7.0988930393989715,0.13630528945158465
CPLW,Tue-Sat,2.38619804218749,7.0988930393989715,0.33613663833840746
CPLW,Tue-Sun,2.987050180209249,7.0988930393989715,0.42077689628947385
CPLW,Wed-Thu,0.3152011047455471,7.0988930393989715,0.04440144442185223
CPLW,Wed-Fri,0.9680859631429584,7.0988930393989715,0.1363713973108294
CPLW,Wed-Sat,2.426827349682796,7.0988930393989715,0.34185996833786125
CPLW,Wed-Sun,2.846607187506015,7.0988930393989715,0.4009931086026087
CPLW,Thu-Fri,0.7704325422679119,7.0988930393989715,0.10852854635109993
CPLW,Thu-Sat,2.2711283709077694,7.0988930393989715,0.319927115157669
CPLW,Thu-Sun,2.884929152133104,7.0988930393989715,0.4063914100581176
CPLW,Fri-Sat,2.127052282450502,7.0988930393989715,0.299631544051351
CPLW,Fri-Sun,3.129509225218351,7.0988930393989715,0.44084467928302684
CPLW,Sat-Sun,1.989969091067749,7.0988930393989715,0.28032104160795046
DUK,Mon-Tue,1.7180290969347929,7.323761436421543,0.2345828863827981
DUK,Mon-Wed,1.1944094251686344,7.323761436421543,0.1630868830910792
DUK,Mon-Thu,1.4911293980976095,7.323761436421543,0.20360157974044948
DUK,Mon-Fri,2.139315324886938,7.323761436421543,0.29210609103786256
DUK,Mon-Sat,3.8450944669463416,7.323761436421543,0.525016345811653
DUK,Mon-Sun,4.358842679986273,7.323761436421543,0.5951644817797401
DUK,Tue-Wed,0.6472058251929561,7.323761436421543,0.08837068640362306
DUK,Tue-Thu,0.5171147975690966,7.323761436421543,0.07060781567753573
DUK,Tue-Fri,1.0637454503215567,7.323761436421543,0.1452457810861344
DUK,Tue-Sat,2.5470759587072096,7.323761436421543,0.3477824859286698
DUK,Tue-Sun,3.733800770655377,7.323761436421543,0.509820097646401
DUK,Wed-Thu,0.39698437957118815,7.323761436421543,0.054204985104642944
DUK,Wed-Fri,1.3550361035136982,7.323761436421543,0.18501914832657101
DUK,Wed-Sat,2.817800435802371,7.323761436421543,0.384747709256239
DUK,Wed-Sun,3.798648599691549,7.323761436421543,0.5186745407627046
