date,n_bas,label,median_err,share_extreme
2017-03-17,44,,4.896654451144242,0.06818181818181818
2020-06-23,43,,4.8947581133460005,0.023255813953488372
2022-11-12,43,,4.892931527380039,0.0
2022-06-21,43,,4.8928067623186875,0.0
2019-06-13,44,,4.889814770634265,0.0
2024-05-04,43,,4.889721275286648,0.0
2019-05-20,43,,4.888262414196545,0.0
2018-10-20,43,,4.886965453951355,0.023255813953488372
2019-04-23,43,,4.885488964115008,0.0
2016-04-20,44,,4.8851502659912445,0.0
2023-03-14,43,,4.884958347768144,0.023255813953488372
2021-05-17,44,,4.879751486411392,0.045454545454545456
2018-05-22,44,,4.879626043904544,0.022727272727272728
2022-06-07,43,,4.876312315402448,0.0
2026-05-03,42,,4.873881787021362,0.023809523809523808
2024-11-13,42,,4.873106190755827,0.023809523809523808
2019-04-24,42,,4.872519306328487,0.0
2016-06-12,43,,4.870835319941694,0.0
2023-03-12,42,,4.8672329315899105,0.0
2023-03-16,43,,4.863945483371013,0.023255813953488372
2021-04-10,44,,4.860866313037125,0.0
2025-10-29,42,,4.858678920520016,0.023809523809523808
2023-05-18,42,,4.8584996659543584,0.023809523809523808
2019-07-22,44,,4.857812533987021,0.0
2022-06-08,43,,4.856442156563676,0.0
2025-06-17,43,,4.8553385186565565,0.023255813953488372
2019-11-08,44,,4.854700452586934,0.0
2020-09-12,43,,4.854183981123823,0.0
2023-03-26,43,,4.847727418304431,0.023255813953488372
2016-05-29,44,,4.847196791007702,0.0
2024-05-14,43,,4.845306893024715,0.023255813953488372
2023-05-08,43,,4.8447100057627805,0.023255813953488372
2022-03-06,43,,4.843523903195114,0.11627906976744186
2016-11-19,42,,4.8432812755554,0.0
2023-10-13,43,,4.839420290401867,0.0
2023-11-24,43,Day after Thanksgiving,4.8393915340456335,0.0
2021-05-22,44,,4.838504594657234,0.11363636363636363
2019-11-14,42,,4.836724046708682,0.047619047619047616
2020-05-18,43,,4.83582022740002,0.023255813953488372
2025-06-01,43,,4.834830466385784,0.023255813953488372
2017-10-25,44,,4.833955014540598,0.0
2024-06-24,42,,4.829060141213103,0.0
2018-06-04,43,,4.827412463707528,0.023255813953488372
2017-12-25,43,Christmas Day,4.823564591853902,0.0
2025-05-27,43,,4.822143118852763,0.0
2025-05-30,43,,4.822128624672522,0.046511627906976744
2019-04-22,43,,4.821010908483575,0.023255813953488372
2019-04-28,43,,4.819924750438619,0.0
2026-01-27,43,,4.818342886557934,0.0
2023-09-04,43,Labor Day,4.8179103270899395,0.0
2025-10-13,43,Columbus Day,4.81282079618724,0.0
2024-11-10,43,,4.8123842688316545,0.023255813953488372
2025-10-10,43,,4.808129324731578,0.023255813953488372
2022-10-22,43,,4.807664427610829,0.0
2024-06-30,42,,4.805870468434821,0.023809523809523808
2020-04-04,43,,4.805866480607158,0.046511627906976744
2021-10-27,43,,4.804915367574154,0.0
2016-06-18,44,,4.8036470076086495,0.06818181818181818
2026-04-11,42,,4.801893446870864,0.0
2017-06-18,44,,4.800325897248583,0.022727272727272728
2015-10-03,43,,4.799935752152871,0.0
2018-05-17,44,,4.799801806645849,0.0
2024-06-06,43,,4.7996983866219205,0.046511627906976744
2020-03-23,43,,4.79428968230433,0.0
2022-09-18,43,,4.78730633392378,0.0
2018-02-20,43,,4.7857704912956756,0.023255813953488372
2019-06-01,43,,4.785221661681568,0.0
2021-11-20,43,,4.784347609192605,0.0
2021-11-08,43,,4.782714800067071,0.0
2023-07-04,43,Independence Day,4.782192818677578,0.0
2016-10-07,44,,4.780758508009285,0.022727272727272728
2016-06-01,42,,4.777812526400629,0.0
2018-02-24,43,,4.775706030521175,0.0
2021-03-16,43,,4.775358465388614,0.0
2021-10-28,42,,4.775166463331632,0.0
2018-11-03,41,,4.774521880976171,0.0
2025-06-30,42,,4.773766720370899,0.16666666666666666
2021-04-03,43,,4.773247437364249,0.046511627906976744
2024-04-15,43,,4.772485917845959,0.023255813953488372
2023-11-26,43,,4.771539960472659,0.0
2019-10-20,44,,4.7680030938191535,0.0
2021-03-08,43,,4.762998177552698,0.0
2018-05-19,43,,4.759675135471973,0.0
2026-06-15,42,,4.759460427621136,0.09523809523809523
2025-05-10,43,,4.7574451123750086,0.09302325581395349
2025-04-26,43,,4.756739813336892,0.023255813953488372
2016-06-19,44,,4.756569109007371,0.06818181818181818
2018-10-27,43,,4.755721878170224,0.023255813953488372
2020-10-16,43,,4.75489899124455,0.023255813953488372
2026-03-04,43,,4.752989863116852,0.023255813953488372
2021-06-02,44,,4.75170844516013,0.09090909090909091
2018-03-13,43,,4.7484191336576975,0.0
2021-07-06,44,,4.7458868059488335,0.045454545454545456
2019-06-04,44,,4.742491979596435,0.0
2023-05-11,43,,4.740398324164183,0.0
2025-03-31,43,,4.739738043343804,0.0
2025-10-09,43,,4.727927145385852,0.023255813953488372
2019-06-24,44,,4.7244324484847695,0.0
2024-06-04,43,,4.723629191952144,0.023255813953488372
2016-06-10,44,,4.721249780046299,0.0
2016-02-23,43,,4.720099939197122,0.0
2021-06-23,44,,4.716380040701013,0.045454545454545456
2020-12-25,43,Christmas Day,4.716355472957975,0.0
2021-10-12,43,,4.7162928140635305,0.046511627906976744
2026-03-09,43,,4.716285413573903,0.023255813953488372
2024-04-20,43,,4.714141480410749,0.0
2016-12-18,42,,4.7140184880694,0.0
2018-04-28,44,,4.713837986818692,0.0
2017-10-03,44,,4.7128038287091725,0.045454545454545456
2020-04-30,43,,4.712325741405465,0.0
2021-05-01,44,,4.7114507087055495,0.022727272727272728
2018-05-03,42,,4.7108622976970125,0.047619047619047616
2020-11-17,43,,4.710226698612998,0.0
2023-06-06,43,,4.706095158536986,0.023255813953488372
2022-07-10,42,,4.70597455850203,0.023809523809523808
2024-10-25,43,,4.705843603792353,0.0
2019-04-09,43,,4.704774698207803,0.0
2025-05-11,43,,4.704365248545416,0.046511627906976744
2025-05-12,43,,4.7000159881918435,0.0
2016-04-23,44,,4.6996672281665886,0.0
2026-04-01,42,,4.698712151561505,0.0
2016-06-08,43,,4.698154645153027,0.0
2026-02-27,43,,4.696162775082366,0.0
2017-05-21,44,,4.693782676405946,0.022727272727272728
2017-06-06,44,,4.692027998340592,0.0
2022-12-26,43,Christmas Day (observed),4.690148569547759,0.0
2017-09-24,44,,4.689531491976222,0.022727272727272728
2023-03-20,43,,4.686690542974647,0.0
2025-03-13,43,,4.685007901452271,0.0
2019-10-15,44,,4.684922426817463,0.0
2024-06-25,43,,4.683903412651397,0.023255813953488372
2017-05-30,42,,4.680095889439831,0.047619047619047616
2026-03-13,42,,4.678008237211561,0.023809523809523808
2026-06-21,42,,4.677665982964091,0.0
2020-09-20,43,,4.673817789271877,0.0
2015-11-13,44,,4.671924949934965,0.0
2026-06-23,42,,4.66889984327984,0.047619047619047616
2018-05-20,44,,4.667883782991206,0.045454545454545456
2025-06-11,43,,4.665327996178937,0.023255813953488372
2019-05-19,43,,4.660482075643484,0.0
2018-06-07,41,,4.659347851973653,0.0
2017-10-17,44,,4.655037736991769,0.0
2020-10-26,43,,4.65353691727545,0.11627906976744186
2025-01-23,43,,4.652990511645229,0.0
2022-11-11,42,Veterans Day,4.651847014592044,0.0
2016-10-22,44,,4.650091103163778,0.0
2021-04-12,44,,4.648534571576205,0.0
2022-03-28,43,,4.6452003313710994,0.0
2023-06-28,43,,4.644613642055153,0.0
2026-04-17,42,,4.644534083793715,0.0
2019-04-25,43,,4.644518440496599,0.0
2025-01-26,43,,4.64183008282871,0.0
2021-05-04,43,,4.64156593107916,0.0
2019-10-05,43,,4.6402184831044995,0.023255813953488372
2023-02-12,43,Super Bowl Sunday,4.636612898231736,0.0
2021-06-29,44,,4.636559759819177,0.0
2022-12-27,43,,4.636082537100472,0.11627906976744186
2026-05-02,42,,4.635067434177801,0.023809523809523808
2023-05-25,43,,4.631734566689148,0.0
2021-11-23,43,,4.631723817962255,0.0
2024-06-10,43,,4.629915299041463,0.0
2018-02-19,43,Presidents' Day,4.629174700228917,0.0
