ba,days,G3_w8_mean,G3Tprev_w8_mean,gain_pp,gain_rel_pct,ci_lo,ci_hi,share_days_b_better,sign_test_p,needs_b,gain_Mon,gain_Tue,gain_Wed,gain_Thu,gain_Fri,gain_Sat,gain_Sun
SCEG,3358,4.748788461743528,4.262456632820008,0.4863318289235202,10.24117694105419,0.431330792599887,0.5388128224073407,0.6652003910068426,2.8299458741215535e-51,True,0.5865878380362977,0.49364932814494544,0.5756351151170478,0.57528507456209,0.5521545284578588,0.27227371698637826,0.3077393373246338
GCPD,3365,2.2171822807020227,1.9908373318011752,0.22634494890084714,10.208675708394166,0.20364558866360677,0.25010881219332043,0.6918117343649258,1.0924673632567719e-52,True,0.22004931053208182,0.269254433185028,0.2997137201246201,0.27735541092779814,0.22721067592887959,0.12860822837873132,0.1397234904309877
SC,3227,5.4046923751645,4.862625494918642,0.5420668802458579,10.02956028980945,0.4698812335379893,0.611858823654361,0.6603260869565217,1.2321191938809393e-43,True,0.5666130641859494,0.545669832522313,0.7836484988047699,0.6251805633040606,0.5790270771115906,0.19677077425880535,0.44150895462526946
FPC,3458,5.639750068205376,5.099494414428783,0.5402556537765948,9.579425457563042,0.46441783524571356,0.6188373353555449,0.6439674315321984,2.155448193517332e-26,True,0.45689734477991173,0.6195236182646096,0.6531942076820191,0.7923964336088528,0.6239046029199886,0.26112450660822134,0.3417159842188862
PACE,3109,3.057906730866338,2.767082233417516,0.29082449744882216,9.510574489184254,0.2603115915250755,0.32109172217572113,0.6386706948640484,9.166396933453543e-30,True,0.25252852094733563,0.33244348965415804,0.3390049303190438,0.3594160277705689,0.36048650470986343,0.1976511226017808,0.16720480758255865
NWMT,3346,2.581821701512333,2.3389536839354004,0.24286801757693274,9.4068470117309,0.2167156630461682,0.268305341860382,0.6133704735376044,6.331782321436591e-22,True,0.25058764763492963,0.27839713709994257,0.3004653420209525,0.31955588025734993,0.2880125791506806,0.10459875069765885,0.13259462765887478
PJM,3344,3.136819527699942,2.847613459097138,0.2892060686028036,9.219722908791715,0.257146869159961,0.32301662332351755,0.6329757199322417,2.742771181751987e-29,True,0.2915120007182836,0.34823389986828346,0.3941826355736211,0.30480717500986954,0.2954370211562641,0.17329893175914649,0.18911051453721117
LGEE,3338,4.654448589451725,4.240403586671431,0.4140450027802948,8.895683233426102,0.36812835890565393,0.4627285175383788,0.6454320987654321,1.4746114569336818e-39,True,0.3620281869284542,0.530334790616524,0.5120589302024406,0.45759020234135095,0.39920697510096814,0.31431249583152904,0.28265569173419625
BPAT,3376,2.8288010787577575,2.5807063830970356,0.24809469566072223,8.770312537128655,0.22186365801041918,0.27457094673184795,0.644,9.492280350552973e-34,True,0.23650369920094966,0.3002881343539838,0.30830153663685755,0.3253700542568196,0.2895286184099941,0.11888781576460565,0.12862067919032427
SRP,3287,5.000258514745098,4.584628912615688,0.4156296021294086,8.312162279285603,0.36965390153923394,0.46445344020222395,0.7280453257790368,4.797639994537964e-68,True,0.4620700629380409,0.44578279321394415,0.5154124667697033,0.5472976824306468,0.44297595994049566,0.2242018489950992,0.23182707786407925
