ba,days,G3_w8_mean,G3off_w8_mean,gain_pp,gain_rel_pct,ci_lo,ci_hi,share_days_b_better,sign_test_p,needs_b,gain_Mon,gain_Tue,gain_Wed,gain_Thu,gain_Fri,gain_Sat,gain_Sun
SOCO,3771,4.5442880319171275,4.569988764395506,-0.02570073247837945,-0.5655612561938975,-0.045285426636274766,-0.005824720229748167,0.46906241556336126,0.0001776169105172134,False,0.06705438575567343,-0.058335798894153926,-0.040030896031855445,-0.04965029613198073,0.08271174515559433,-0.0776915965299843,-0.0935635528930343
FPL,3776,3.878471951136566,3.900681992045857,-0.0222100409092911,-0.5726492595307429,-0.03409883481860838,-0.010104273122138794,0.4573664328116568,2.2502229784247324e-07,False,-0.013919761299417062,-0.031444155581632986,-0.04525156388095508,-0.04256703205106144,0.08357249551245793,-0.05006744444496687,-0.05396778515577818
BANC,3742,4.797676944278179,4.825422758674283,-0.0277458143961031,-0.5783176882969038,-0.04392641776074946,-0.010296789124450959,0.4752178649237473,0.002812853573522515,False,-0.022921372468853302,-0.05180220489836736,-0.05146510912220634,-0.04139241422569156,0.07942734360045409,-0.05273460692611487,-0.05109515821560369
PSEI,3291,3.330939769130658,3.3511805905153,-0.02024082138464233,-0.6076609842130223,-0.035843202270926036,-0.0051772346465405765,0.46429704855601395,6.550574123776345e-05,False,0.040776291735855855,-0.02961632869821513,-0.07661941780376519,-0.037862442402542974,0.11453914529446177,-0.06826790671221558,-0.07779839330831098
DUK,3834,5.34410646382522,5.377188200511277,-0.03308173668605811,-0.619032141481305,-0.054638929281437855,-0.009862545732767155,0.4535069075451647,1.251931867725654e-08,False,0.04751824107190157,-0.047871992103640695,-0.050871924071039853,-0.06251670483332772,0.06170404967598638,-0.06772252638003812,-0.10308775381202827
LGEE,3826,4.862958135973723,4.894824394748446,-0.03186625877472314,-0.6552854843432141,-0.05213038613763223,-0.011449981056534992,0.46219382321618746,3.841760807560618e-06,False,0.09243569362429195,-0.06322907208586528,-0.03438708233281525,-0.0732320664752059,0.03516721979309302,-0.08398819720348406,-0.08247971575006997
PACE,3689,3.1500502044161887,3.1711528449140496,-0.02110264049786012,-0.6699144181345249,-0.03226713963108207,-0.009930788138256683,0.450124343741365,2.110792086892074e-09,False,0.05148498294501863,-0.038874030500088454,-0.03139578074210087,-0.046779892020455856,0.040995168355325365,-0.05125266782344819,-0.06438974159266628
TVA,3804,5.014801550348677,5.049265046531957,-0.03446349618328038,-0.6872354935138789,-0.05678297952196909,-0.012627786202996595,0.467327262988752,6.950241692614783e-05,False,0.03275239886399253,-0.06634732645208394,-0.04837151191957987,-0.06711670869679463,0.06714053122408464,-0.08257576450155486,-0.06817550070953526
ISNE,3836,3.8821354911070505,3.909098417205744,-0.02696292609869371,-0.6945385126422988,-0.040264276276715555,-0.013883106321908102,0.46521508231545405,2.0936724425071055e-05,False,0.00272585244985261,-0.04039177905337388,-0.05144447334277773,-0.049753772830399834,0.0790628467691784,-0.05457995451406057,-0.06984716167701967
WACM,3684,3.317896935281639,3.340968289040296,-0.02307135375865652,-0.6953607724616712,-0.034249947357188205,-0.01170094020753033,0.45932484781405647,1.0802359500911996e-06,False,-0.0013412994972968196,-0.038226306716906744,-0.025471576256923083,-0.046010557681940324,0.04620049357119154,-0.05061281254410927,-0.043804481095708864
CPLE,3826,6.560700187358641,6.611906203461278,-0.05120601610263635,-0.7804962068119143,-0.07620638396238866,-0.025401337652007538,0.46352502662406814,8.335718790281147e-06,False,0.0023718251227073245,-0.052487682693502485,-0.06294534959234005,-0.08679572133312527,0.02615215711634203,-0.07910840237504935,-0.09993109629096694
ERCO,3826,3.9014859377958513,3.9321661038512055,-0.030680166055354428,-0.7863713094064674,-0.04415305240605884,-0.017308331170884303,0.45580404685835996,6.507163116349493e-08,False,-0.03753839562011059,-0.05784268127914853,-0.04096247831265063,-0.015828804791987432,0.035652567597293065,-0.03797208540711565,-0.05944791072515565
NEVP,3781,3.694060163257622,3.7238935126329333,-0.029833349375311295,-0.8076032348374812,-0.04210392691224226,-0.016994074800939087,0.46429533818377794,1.4547572088043838e-05,False,-0.040799648139916135,-0.04006859647887842,-0.018044317683002867,-0.040649236227339854,0.010936772287103911,-0.0443617918833466,-0.03672696094797539
FPC,3833,5.93309136712078,5.9816536282109425,-0.04856226109016158,-0.818498453593307,-0.06703720271216597,-0.029696723160969253,0.44990698910443794,8.546986286704354e-10,False,-0.04344830782266517,-0.0583076974654437,-0.06471518082179856,-0.078009495419083,0.07761709328993806,-0.08282924878667171,-0.08830283175710925
TEC,3830,5.20779337288295,5.250676575431708,-0.04288320254875758,-0.823442857238749,-0.06044790287397231,-0.02619969089235852,0.4577127659574468,2.307907238987265e-07,False,-0.03382799360692899,-0.04771138945580136,-0.07069739959805782,-0.0646671282705264,0.0848365802018059,-0.07507577990338492,-0.0908443887192714
PNM,3835,3.5995406342184557,3.629527873718796,-0.029987239500339595,-0.83308517801607,-0.04204323919079665,-0.018388118595247246,0.45179282868525894,3.5462668370412324e-09,False,-0.03698628338315316,-0.052908662128592514,-0.025430158300860674,-0.032594293375748304,0.037778889499847555,-0.048213403942575464,-0.051198608147427264
CPLW,3829,5.902044639041925,5.951318919494803,-0.04927428045287721,-0.8348679731584658,-0.07268834750185527,-0.026010447939817844,0.4604948124501197,1.363529681771752e-06,False,0.03311447953973473,-0.08214356925203606,-0.05407766382553087,-0.05343559473683783,-0.013691055447602102,-0.08250810243519038,-0.08325005890329341
