ba,days,G3_w8_mean,G3R_w8_mean,gain_pp,gain_rel_pct,ci_lo,ci_hi,share_days_b_better,sign_test_p,needs_b,gain_Mon,gain_Tue,gain_Wed,gain_Thu,gain_Fri,gain_Sat,gain_Sun
ERCO,3687,3.6899151622265554,3.138763245101594,0.5511519171249615,14.936709731623948,0.5016636514206797,0.6000424802331389,0.6975276170436613,4.280938746065263e-68,True,0.6392508698828073,0.7367830692696282,0.6119317928062016,0.5913437563591032,0.604681805815699,0.3105860873959446,0.3284867056620123
BPAT,3619,2.7893655859667743,2.394347140764972,0.3950184452018027,14.16158739424944,0.36449366907930336,0.42705982282770694,0.6518191091465488,1.0028927337639433e-61,True,0.5436949270738033,0.4424237523790185,0.5030969376086639,0.48925315923142054,0.4187610769610582,0.16008545121444942,0.1581705530911626
SWPP,3558,3.3561417258479254,2.8811775291252295,0.4749641967226955,14.152089974766973,0.4317626836707392,0.520667588670981,0.6602590890096114,3.2579663528836013e-56,True,0.5673907570941926,0.5934791970122753,0.543600775457367,0.5547081528209551,0.5932790857205135,0.27040007817809747,0.1522857503308764
SCEG,3654,4.763379744682561,4.093748095465402,0.6696316492171595,14.057910246704145,0.6109716540590955,0.728704758232888,0.6634290540540541,7.732403410988807e-58,True,0.7770787438113489,0.7155502556171506,0.8193130506559927,0.8002138539215577,0.7170651127094297,0.3529283462046187,0.4593512370313804
FPC,3715,5.576438067124848,4.801287197245372,0.7751508698794765,13.900465862774944,0.685055384214301,0.8649032675956246,0.6479035037334865,2.293059282151502e-35,True,0.6875579699640116,0.9237072646268953,0.9753992719374904,1.0996701438806777,0.9599997873203056,0.37930455609692537,0.3388965934090077
IPCO,3618,3.651759243350296,3.1788456674923893,0.4729135758579069,12.950294483927523,0.43420129926244716,0.5109783271416661,0.6608103262818215,1.103246694042005e-65,True,0.5133509014046205,0.5830702580405899,0.5807563648533001,0.5817893130214964,0.580886248151869,0.32498555313548483,0.0820155083721883
GCPD,3591,2.159195045633845,1.8844080350657775,0.27478701056806787,12.726363517910094,0.25002040533864933,0.3012842116268823,0.6328963051251489,6.506310205713549e-41,True,0.3319420317753208,0.33867905278290517,0.32100988853063345,0.3074885177293519,0.29618702448426826,0.16869554716467378,0.133412430438083
TPWR,3633,3.1721512683877626,2.7687135917091514,0.40343767667861136,12.718109653189947,0.3639467577522332,0.4404563069376771,0.5890629996802047,2.0814986129242976e-23,True,0.5902898797798406,0.5306018043867309,0.5008450380499166,0.4761853929065022,0.42111183340165487,0.05022760284385709,0.18303488937875925
PACW,3417,3.9534827041927576,3.451002089006922,0.5024806151858362,12.70982201725441,0.4564492132910107,0.5480638007367369,0.6402714932126696,8.470521608624642e-48,True,0.5556476709614958,0.6589347781454371,0.6737037095386909,0.5826368816847409,0.5632204361846961,0.24469024072172055,0.17002404609266505
PSEI,3127,3.2222424978044546,2.8588650629277796,0.36337743487667534,11.277159776902902,0.3248565486099275,0.3992795419127229,0.5871704053522235,1.4895604517612223e-18,True,0.5112035085707114,0.41840545196830636,0.4872793417188017,0.47338028422774425,0.3780722350327563,0.13567647965787108,0.09263971373433814
