ba,days,G1_w8_mean,G3_w8_mean,gain_pp,gain_rel_pct,ci_lo,ci_hi,share_days_b_better,sign_test_p,needs_b,gain_Mon,gain_Tue,gain_Wed,gain_Thu,gain_Fri,gain_Sat,gain_Sun
FPL,3776,3.972052857687237,3.878471951136566,0.09358090655067106,2.3559834147111367,0.07033360535930856,0.11674361948102151,0.5815677966101694,1.1207596647474478e-23,False,0.038655213169412415,0.04500929091875853,0.06376968077906349,0.06892994492014773,0.022279942437568628,0.14624714327260935,0.26839680224899265
SWPP,3724,3.5439122713472653,3.465893579896244,0.07801869145102112,2.2014848415353487,0.05821891122600996,0.09707666998904727,0.5738453276047261,2.0124016751524749e-19,False,0.08910564071612259,0.01884391953936226,0.030363893075205914,0.04815229825289946,0.05081061083851559,0.05292965275097687,0.26143993569602086
IPCO,3833,3.8100423872686817,3.739910852667136,0.07013153460154532,1.840702214649658,0.05205864465397665,0.08777950046368571,0.5846595356117923,9.445808137012032e-26,False,0.11626875023603371,0.03468725342237951,0.05669693707118972,0.08964961065476487,0.05286009626221355,0.06939891129534967,0.07679638815835092
PNM,3835,3.6558106789138187,3.5995406342184557,0.056270044695362294,1.539194713225159,0.03962947897208947,0.07252431136836245,0.5491525423728814,1.2292870555207768e-09,False,-0.00109933020559862,0.010438546973855342,0.016030734826207777,0.05023853776549811,0.048364333796953526,0.06716699692664169,0.20007395020593474
ERCO,3826,3.960845385381519,3.9014859377958513,0.05935944758566789,1.498656014313223,0.03490270350707701,0.08323656798540416,0.5690015682174595,1.4217225198212076e-17,False,0.061791434869472035,0.04408048405218554,0.046986445535447896,0.06187051985360619,0.05564374961354407,-0.011928760580687672,0.1593399575609975
TEC,3830,5.268552715634763,5.20779337288295,0.060759342751811704,1.1532454173136488,0.030387250673538133,0.09164694205669544,0.5618798955613578,1.9701152698510787e-14,False,0.05042825764906584,0.04363117111798936,0.1067996704610181,0.07858725983236584,0.02833532361223919,0.05419991465845384,0.06173431306151288
WACM,3684,3.35548844645248,3.317896935281639,0.037591511170840496,1.1202992282862227,0.023587496319691682,0.05263650054231784,0.5727865290602934,1.0259228971353283e-18,False,0.040152317482210466,0.02085243157976591,0.021276852170783844,0.04387012520641558,0.059023011282733566,-0.006095376617165831,0.08550646123893749
LGEE,3826,4.909916838948251,4.862958135973723,0.0469587029745291,0.9564052613279715,0.016497297519639492,0.07719484892939173,0.5407736539466806,4.889981198834558e-07,False,0.09964847565041256,-0.016883210526937094,-0.01626638803736367,0.03393929163713472,0.07689710414157648,0.08388356594777222,0.07491596664761196
DUK,3834,5.394927795754138,5.34410646382522,0.0508213319289187,0.942020613675601,0.019228217233193165,0.08365126876498243,0.5678142931664059,4.6756805049547765e-17,False,0.06469591667993403,0.04012910822536496,0.05356891597967167,0.05966249637245262,0.05480271157212938,0.07857000505745523,0.004952373004258708
JEA,3822,5.938544476374319,5.892064407476873,0.046480068897445034,0.7826845295570252,0.007963311404801353,0.08680543583149254,0.5531135531135531,5.488522585296064e-11,False,0.0400664151408939,0.05080859744575502,0.0648084428726614,0.06148657550516886,0.05503497909146785,-0.10114824175738761,0.15758703072041882
