date,n_bas,label,median_err,share_of_bas
2025-10-30,2,,15.717115971310573,0.046511627906976744
2018-07-06,2,,11.125957444864898,0.05405405405405406
2025-10-14,2,,9.162662937576957,0.04878048780487805
2016-03-12,2,,17.446595287388284,0.046511627906976744
2025-05-11,2,,17.087285606798314,0.046511627906976744
2026-05-22,2,,8.147494150592198,0.04878048780487805
2018-05-07,2,,16.432725627026606,0.045454545454545456
2017-06-07,2,,12.142590341980254,0.045454545454545456
2025-04-19,2,,18.961871926420052,0.046511627906976744
2018-06-17,2,,10.31604553178289,0.046511627906976744
2025-04-16,2,,12.78142689677562,0.046511627906976744
2025-04-14,2,,14.8940931728585,0.046511627906976744
2018-11-15,2,,22.14151916462462,0.046511627906976744
2026-06-04,2,,9.46076067653036,0.047619047619047616
2025-04-11,2,,17.018315766119876,0.046511627906976744
2019-09-30,2,,7.994971487452032,0.045454545454545456
2018-09-19,2,,18.190825703406137,0.047619047619047616
2017-12-09,2,,14.087264136399183,0.046511627906976744
2023-06-04,1,,16.511384736283794,0.023255813953488372
2023-06-19,1,Juneteenth,12.909474017288808,0.023255813953488372
2023-07-04,1,Independence Day,11.57353618644422,0.023255813953488372
2023-06-12,1,,12.613053881397216,0.023809523809523808
2026-03-17,1,,13.320128446273296,0.024390243902439025
2023-09-30,1,,12.645287107695916,0.023255813953488372
2026-03-15,1,,24.866587881506565,0.023255813953488372
2023-07-14,1,,9.775215320041985,0.023255813953488372
2026-02-07,1,,16.589761988282838,0.023255813953488372
2023-11-18,1,,7.474802581953881,0.023255813953488372
2026-02-08,1,Super Bowl Sunday,16.55897386170614,0.023255813953488372
2026-02-10,1,,19.473096792805357,0.023255813953488372
2026-02-11,1,,20.03336068752595,0.023255813953488372
2026-02-12,1,,18.703443686181622,0.023255813953488372
2026-02-25,1,,18.839048447418747,0.023255813953488372
2026-03-03,1,,38.125262670580575,0.023809523809523808
2026-03-04,1,,18.566908870754293,0.023255813953488372
2026-03-06,1,,20.5002103388545,0.023255813953488372
2026-03-07,1,,21.89386399494513,0.023809523809523808
2026-03-08,1,,25.83217639274264,0.02631578947368421
2023-10-14,1,,10.33304305191534,0.023255813953488372
2023-10-13,1,,10.66489088828311,0.023255813953488372
2023-10-09,1,Columbus Day,20.361370907736422,0.023255813953488372
2023-06-01,1,,9.400716921814572,0.023255813953488372
2023-09-15,1,,13.109028970037361,0.023255813953488372
2026-03-09,1,,20.394972163408006,0.023255813953488372
2023-09-03,1,,11.98693507214877,0.023255813953488372
2023-09-01,1,,18.014536125093443,0.023255813953488372
