ba,days,G3_w2_mean,BEST_mean,gain_pp,gain_rel_pct,ci_lo,ci_hi,share_days_b_better,sign_test_p,needs_b,gain_Mon,gain_Tue,gain_Wed,gain_Thu,gain_Fri,gain_Sat,gain_Sun
LGEE,3319,4.264181503883507,3.6836342794231998,0.5805472244603072,13.614505478521185,0.5120048394155551,0.6489263257817718,0.6137218045112782,5.242943876379088e-38,True,0.547585995522556,0.5295297753297101,0.532819415725868,0.427224249945394,0.3983356583183933,0.7697280134700686,0.9448193623440643
AECI,3337,5.387580915559579,4.6648388097670574,0.7227421057925213,13.41496521574663,0.6415388432199325,0.807023493954882,0.6090202177293935,2.7896509075087e-35,True,0.805178930356707,0.6401301487509522,0.4796217437939973,0.5291230431096913,0.694980641376613,1.02598979068665,0.975142965306737
SOCO,3256,3.809507425699411,3.3032415901071936,0.5062658355922176,13.289535339316712,0.4387396698468318,0.574722946049158,0.604760413404322,1.7965022745571024e-32,True,0.34030919880169946,0.5611152682014491,0.40446908858880787,0.4102516958623237,0.4617056239460851,0.820039360433223,0.5878997266186381
AEC,1968,6.352939117934993,5.512533742010201,0.8404053759247921,13.228607426006056,0.6808905694302682,0.9952044361709184,0.5975081256771397,5.206417382264858e-17,True,0.4968076971944103,1.0257744798060084,1.0003158283261877,0.8335305140624902,0.6534407207516417,1.0540391028117484,0.7999428600334307
EPE,3358,3.539449438259908,3.0800755724166997,0.45937386584320844,12.978681398230382,0.40215898047837856,0.5186289229138796,0.5979993748046264,1.206624135698393e-28,True,0.4530186487051753,0.3211437441213203,0.3212386563158263,0.3282314686100135,0.32980553021130493,0.6737581185527752,0.8755388107114022
SC,3174,4.893200011028814,4.261483596595889,0.631716414432925,12.910087734184083,0.545937534294481,0.7131415694163828,0.6019607843137255,1.290109739420265e-29,True,0.5152290167631092,0.7453909394264944,0.5257836079799583,0.45169377882034395,0.4369838264420764,0.9239693295880317,0.9158204331491155
CPLW,3325,5.131412941406739,4.47556410608017,0.6558488353265693,12.781057436137136,0.5801523728792362,0.7405175869638251,0.6125116713352008,1.8246086813109765e-37,True,0.7680071563832525,0.4980492830089509,0.5488450225102735,0.5084937350464421,0.458120679052453,0.9577414079920906,0.9625202863154375
ERCO,3334,3.3230452887061994,2.8996874877649197,0.42335780094127945,12.740055104879728,0.3620926991743219,0.4879740424663317,0.5886392009987516,9.84706998665181e-24,True,0.5366140808201102,0.33514865527750537,0.3658770326277728,0.34232791132804696,0.3169977465891939,0.5531100401013503,0.5685957552566304
BPAT,3366,2.4019949188064373,2.107907210846875,0.29408770795956246,12.243477521829897,0.25662907503995275,0.3288259858666106,0.5907967881408277,4.453322179862575e-25,True,0.3275972736171727,0.24627064924819597,0.3025883420612271,0.2077230508893631,0.2398825399734587,0.36473028108897804,0.3963901194658816
NEVP,3334,2.8219419910139405,2.4778738322266385,0.3440681587873016,12.192602111699536,0.2954313439512689,0.3955373167753498,0.5847642834842335,8.021803097943871e-22,True,0.4287087351972323,0.34316719188517447,0.1932329780872949,0.2103789648088982,0.23471031151295232,0.5103508151996118,0.5467434492269279
PJM,3344,2.677894482901592,2.373301046120097,0.3045934367814944,11.374362908110436,0.26293658712805773,0.3470622375416355,0.5993096956385315,2.8407463838621894e-29,True,0.29446037499761274,0.2734427024378245,0.2690528855995521,0.19397985864307182,0.20374183120685746,0.47077751675703555,0.47785685554010865
PNM,3391,2.58836180835595,2.2974824460736336,0.29087936228231664,11.237971497774282,0.2529609679082259,0.32935066190183043,0.5877028714107366,2.893073827860233e-23,True,0.4087965871517813,0.26714101353289443,0.19525337528101258,0.2553950320618334,0.08500211410610735,0.38889640382929963,0.482851199119923
