ba,days,G3R_w8_mean,G3T_w8_mean,gain_pp,gain_rel_pct,ci_lo,ci_hi,share_days_b_better,sign_test_p,needs_b,gain_Mon,gain_Tue,gain_Wed,gain_Thu,gain_Fri,gain_Sat,gain_Sun
PACW,3029,3.4304726130183876,3.5019808282013294,-0.07150821518294205,-2.0845003954141395,-0.09889212141034699,-0.04328420371075503,0.4603505843071786,0.00011198588177253397,False,-0.09620129253507845,-0.15230590296666172,-0.13388116093857003,-0.1121565395680857,-0.09259183888490197,-0.010537836557327296,0.16108309107742041
GCPD,3222,1.882256223830037,1.9240646190053179,-0.041808395175280656,-2.2211851206000235,-0.056290031631336584,-0.028019299429064837,0.45454545454545453,1.4193055721538697e-05,False,-0.04779452021979796,-0.033386549590023545,-0.00831139655131382,-0.05167656257063947,-0.06901356658688033,-0.06467701249441384,-0.018566331643350534
PJM,3244,2.7195397584988985,2.7844290020081726,-0.06488924350927434,-2.3860376854755447,-0.09999273039347233,-0.031084118605047433,0.4932343954604976,0.5308186139510551,False,-0.13766474173672907,-0.0726336817309144,-0.17767448679123593,-0.14943010612333169,-0.07821740017511561,0.06280185692171408,0.15149158812084068
FMPP,3366,3.9759646541687443,4.075416975215564,-0.09945232104681963,-2.5013381580881315,-0.1388412733620122,-0.06235880851109346,0.43757881462799497,7.314423943087852e-07,False,-0.10744870869937748,-0.0308158569554808,-0.1336983260535217,-0.17987240643346628,-0.2290081300913348,-0.011232306017001845,0.006468575219750218
SCL,3217,2.3017233372782293,2.3702378557687003,-0.06851451849047073,-2.976661763854236,-0.08797113525333934,-0.04965153862340329,0.4642346208869814,0.0001666058514754703,False,-0.11118834411475474,-0.0787767553418134,-0.12321633588154948,-0.114110791262616,-0.03279397063686565,-0.0018345408311986164,0.005624531926739042
SWPP,3139,2.7905611143423266,2.875544219442694,-0.08498310510036704,-3.045376955322323,-0.12416931348595682,-0.04385531440681592,0.4554054054054054,2.868198701935539e-05,False,-0.07029799992429392,-0.14693545468210342,-0.11455893758126885,-0.10575624813706723,-0.16236601970223036,-0.06295486328563098,0.11441370671582242
SRP,3219,4.4731224313259625,4.614572615883437,-0.1414501845574749,-3.1622247485755715,-0.18094163970410326,-0.10226962626732158,0.40431266846361186,1.7261466431505244e-13,False,-0.23105803450701318,-0.09187841518309697,-0.13266498220258888,-0.18242921635112486,-0.2638596024230968,-0.07843552836594463,0.009246183764599855
FPL,3399,3.4961881627244034,3.6073180719365108,-0.11112990921210757,-3.1786020671584683,-0.13950095974639432,-0.08537157931069468,0.3785644051130777,9.067467859282631e-15,False,-0.08079730949370968,-0.10832246668607205,-0.11553602254694859,-0.11759121850260401,-0.17940545405025063,-0.09082337036874535,-0.08100360570864028
WALC,3181,4.769623039919962,4.9405278218818,-0.17090478196183845,-3.5831926450251794,-0.21914839688198942,-0.12420915920624137,0.43738819320214667,3.469198455847905e-09,False,-0.2819953948510646,-0.20358401846376753,-0.2161640495392826,-0.13857507876370206,-0.21033653759725376,-0.10381122930318938,-0.017591938045089583
AZPS,3301,4.664252675395808,4.866505441819277,-0.2022527664234685,-4.336230914126139,-0.23930476022005773,-0.16491651532389445,0.40813883901855175,6.072369402116559e-14,False,-0.27146646322198714,-0.22079781640416915,-0.15665648162520165,-0.24328020153682922,-0.3303489374504106,-0.13671001375973796,-0.03448278133813274
