ba,days,G3_w2_mean,R2A1_mean,gain_pp,gain_rel_pct,ci_lo,ci_hi,share_days_b_better,sign_test_p,needs_b,gain_Mon,gain_Tue,gain_Wed,gain_Thu,gain_Fri,gain_Sat,gain_Sun
BANC,3673,3.9173791013008605,3.7079039913027074,0.20947510999815377,5.347328011439907,0.15344926366268064,0.2637843168760273,0.5544938787697821,3.0549839124778954e-10,True,0.31012204446041625,0.05737546095666494,0.009888705931804211,0.08039060937381291,0.07771557527991436,0.5055732207940057,0.4722435752798234
JEA,3763,5.558967317123082,5.2625278745011705,0.2964394426219117,5.332635104883603,0.22369816005757542,0.3742094016053601,0.5822196397443347,4.82194240862138e-22,True,0.26570412459378917,0.3036388212862365,0.15298461742162336,0.11612202883398454,0.033833724752052485,0.6362281103696816,0.5969405936593883
SOCO,3694,3.944425539008784,3.73547073064773,0.20895480836105346,5.297471236167962,0.1519954006065728,0.2652093749479168,0.5550029256875366,1.357868431981928e-10,True,0.15767855077228035,0.13317710611632186,0.03294927122640542,0.02542652303715441,0.11385329646174691,0.5341881776666487,0.5071642204926472
TEC,3775,4.951330112586252,4.69190925926045,0.25942085332580167,5.239417437879075,0.18667358745068088,0.32592123719467464,0.5656331498116488,1.3071520415969002e-14,True,0.2687520209778813,0.17954406656648778,0.12091004102711042,0.07973037436262334,-0.0027981411337156393,0.7140739454320367,0.483885143760037
PNM,3784,2.666487138454738,2.5288621325742344,0.13762500588050364,5.161285194132195,0.1066360141680914,0.17023917005319428,0.5595375722543353,2.646948924118725e-12,True,0.21186844676478617,0.08976650523214898,-0.01832427073113826,0.030156476087911603,-0.02018089734803177,0.33981281698321436,0.359647757133973
NWMT,3764,2.2839307206717265,2.1665989254416336,0.11733179523009225,5.137274706633125,0.08808179763162316,0.14887087562346354,0.5648255813953489,3.0156395375973846e-14,True,0.1267672262656569,0.04382629799130585,0.028071583136293488,0.08658883892042485,-0.01981715138649276,0.26050905470142804,0.31457277727526406
PGE,3765,2.967423079885177,2.81536279246168,0.1520602874234969,5.1243211139741085,0.11700307069672662,0.18683009088334915,0.5450581395348837,1.350693946309303e-07,True,0.2629707215299246,0.05128171017643212,0.07741345414365201,0.07186840349095705,0.009256457250684767,0.27556981751544646,0.34426473678169167
ISNE,3789,3.668005653513571,3.487078525300848,0.18092712821272308,4.932574954987149,0.14241907483752936,0.2176520455183963,0.5735718407386036,4.667534995717689e-18,False,0.20399780774786172,0.06126632823381194,0.0691795819078177,0.08834180160205503,0.09084911569237261,0.28738297044413463,0.49431750712385514
ERCO,3773,3.398306062852053,3.2379814888634524,0.1603245739886009,4.717779123580391,0.11143940384819187,0.2100678732914102,0.5452173913043479,1.1689641329441186e-07,False,0.20303202808983145,0.007349795405157091,-0.010916326871232337,0.05439701092371107,0.08974398894814714,0.42037062701388983,0.38957992643366507
SCL,3757,2.3407180006845647,2.233575791552275,0.1071422091322895,4.577322390008312,0.08562937811727452,0.12935829892578193,0.5707217694994179,1.1552901658897238e-16,False,0.09977905360004703,0.015707403003918825,0.020442897910429383,0.036392265037485105,0.09002920607583882,0.2202008243824286,0.28885904228414366
NYIS,3787,2.466421240020244,2.3543504187569497,0.11207082126329386,4.5438637749638415,0.08202581318900844,0.14031762082696203,0.5576090095293098,1.282598239736306e-11,False,0.16366088618087174,0.021499392889871443,0.04220383844026524,0.06659702455482194,0.007117058907383086,0.22860878768782483,0.2744115447181789
SCEG,3751,4.515687139886855,4.318578168042523,0.1971089718443323,4.364982908210755,0.1466122248479343,0.2531591144587797,0.5550043770061278,1.2826968914790644e-10,False,0.10482605493922834,0.14258082528546026,0.06754056141580443,0.04980870141210882,0.040448572480657856,0.5615979322073366,0.43900070116620143
PSEI,3248,2.983393887932311,2.857312202431004,0.1260816855013079,4.226115968504945,0.0900190152946165,0.15915745631478267,0.5558562040974101,1.4446612152067599e-08,False,0.1918591893315399,0.05910822057121182,0.031788555916102856,0.006276744055574422,0.05707712537234014,0.22889042137913296,0.33859737550696123
